,NO,지역구,배움터명,실제교육장소,교육방식,과정,교육명,시작일자,종료일자,시작시간,종료시간,강사,서포터즈,소분류,대분류
0,1,총괄,부산역 유라시아 플랫폼,,집합,생활,집에서 만나는 장보기,2021-08-02,2021-08-06,14:00,17:30,김정화,조영성,쇼핑,소셜 미디어
1,2,총괄,부산역 유라시아 플랫폼,,집합,기초,언택트시대 슬기로운 화상솔루션과 웨일온,2021-08-04,2021-08-06,9:30,13:00,강영애,김희용,기타,기타
2,3,총괄,부산역 유라시아 플랫폼,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-09,2021-08-13,9:30,13:00,강영애,김희용,sns 활용,소셜 미디어
3,4,총괄,부산역 유라시아 플랫폼,,집합,생활,구글앱 활용1,2021-08-09,2021-08-13,14:00,17:30,김정화,조영성,컴퓨터/모바일 기기 관리,컴퓨터 기초
4,5,총괄,부산역 유라시아 플랫폼,,집합,생활,편리한 교통과 장보기,2021-08-17,2021-08-20,9:30,13:00,강영애,김희용,이미지/동영상 제작편집,미디어 창작/앱 개발
5,6,총괄,부산역 유라시아 플랫폼,,집합,생활,민원서류 쉽게 준비하기,2021-08-17,2021-08-20,14:00,17:30,김정화,조영성,정부 행정서비스,생활 서비스
6,7,총괄,부산역 유라시아 플랫폼,,집합,기초,한글초급_한글 친해지기,2021-08-23,2021-08-27,9:30,13:00,강영애,김희용,문서 작성,컴퓨터 기초
7,8,총괄,부산역 유라시아 플랫폼,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-23,2021-08-27,14:00,17:30,김정화,조영성,이미지/동영상 제작편집,미디어 창작/앱 개발
8,9,총괄,부산역 유라시아 플랫폼,,집합,생활,(공공앱) 손쉽게 소통하는 편리한 민원,2021-08-30,2021-08-31,9:30,13:00,강영애,김희용,정부 행정서비스,생활 서비스
9,10,총괄,부산역 유라시아 플랫폼,,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-30,2021-08-31,14:00,17:30,김정화,조영성,정부 행정서비스,생활 서비스
10,44,강서구,강서구청 정보화교육장,,집합,생활,편리한 교통 생활,2021-08-02,2021-08-04,9:30,13:00,한상준,이승아,이미지/동영상 제작편집,미디어 창작/앱 개발
11,45,강서구,강서구청 정보화교육장,,집합,기초,오피스 엑셀 기초,2021-08-02,2021-08-04,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
12,47,강서구,강서구청 정보화교육장,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-05,2021-08-06,9:30,13:00,한상준,이승아,다양한 IT기기 이용방법,생활 서비스
13,49,강서구,강서구청 정보화교육장,,집합,기초,핵심내용으로 구성된 초급엑셀실무 TIP,2021-08-05,2021-08-06,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
